Model,Iteration,MSE,RMSE,R2 Score
RandomForestRegressor,1,1.927081996855346,1.387925050541598,0.6329367625037435
RandomForestRegressor,2,1.9130527044025158,1.3828591392024838,0.6356090086852351
RandomForestRegressor,3,1.901591918238994,1.3786160727041104,0.637792015573525
RandomForestRegressor,4,1.9276432389937106,1.3880358957162326,0.6328298592392932
RandomForestRegressor,5,1.9124762893081761,1.3826446297795962,0.635718802036538
