Model,Iteration,MSE,RMSE,R2 Score
SVR,1,1.3268933058812316,1.1515632096164126,0.7472584179273845
SVR,2,1.327631616049055,1.1518671250931312,0.7471177874192276
SVR,3,1.3246537776058527,1.1505966363804359,0.7476849947417424
SVR,4,1.327318214685391,1.1517457971047331,0.7471774829170683
SVR,5,1.326653889705554,1.1514650810467424,0.7473040210084659
