Model,Iteration,MSE,RMSE,R2 Score
LGBMRegressor,1,1.5781782623292517,1.2561601255278343,0.6993946166991902
LGBMRegressor,2,1.5674258263525007,1.2518926260344823,0.7014426997423808
LGBMRegressor,3,1.574519511195334,1.2547142354643217,0.7000915216770792
LGBMRegressor,4,1.584308429299512,1.2585471616939596,0.698226965847712
LGBMRegressor,5,1.542628654915251,1.2419381262632534,0.7061659704923332
